image,H,W,area
12,256,256,109
12,256,256,100
12,256,256,136
12,256,256,107
12,256,256,83
12,256,256,93
12,256,256,221
12,256,256,76
12,256,256,227
12,256,256,114
12,256,256,221
12,256,256,119
12,256,256,137
12,256,256,139
12,256,256,131
12,256,256,135
12,256,256,168
12,256,256,152
12,256,256,115
12,256,256,222
12,256,256,228
12,256,256,143
12,256,256,117
12,256,256,143
12,256,256,122
12,256,256,126
12,256,256,31
12,256,256,112
12,256,256,147
12,256,256,117
12,256,256,162
12,256,256,105
12,256,256,123
12,256,256,97
12,256,256,126
12,256,256,115
12,256,256,300
12,256,256,160
12,256,256,122
12,256,256,45
12,256,256,128
12,256,256,130
12,256,256,111
13,256,256,259
13,256,256,337
13,256,256,139
13,256,256,236
13,256,256,82
13,256,256,118
13,256,256,227
13,256,256,149
13,256,256,183
13,256,256,31
13,256,256,316
13,256,256,161
13,256,256,137
13,256,256,181
13,256,256,137
13,256,256,155
13,256,256,461
13,256,256,304
13,256,256,139
13,256,256,507
13,256,256,165
13,256,256,409
13,256,256,345
13,256,256,131
14,360,360,139
14,360,360,2335
14,360,360,3019
14,360,360,1854
14,360,360,444
14,360,360,1088
14,360,360,2502
14,360,360,385
14,360,360,67
14,360,360,1634
14,360,360,2430
14,360,360,443
14,360,360,1983
14,360,360,1940
14,360,360,1726
14,360,360,2105
14,360,360,2811
14,360,360,801
14,360,360,1309
14,360,360,809
14,360,360,346
14,360,360,1839
14,360,360,1134
14,360,360,1612
15,256,256,100
15,256,256,51
15,256,256,123
15,256,256,41
15,256,256,100
15,256,256,133
15,256,256,145
15,256,256,45
15,256,256,100
15,256,256,92
15,256,256,39
15,256,256,193
15,256,256,113
15,256,256,105
15,256,256,105
15,256,256,126
15,256,256,63
15,256,256,95
15,256,256,104
15,256,256,84
15,256,256,91
15,256,256,54
15,256,256,94
15,256,256,74
15,256,256,85
15,256,256,97
16,256,256,145
16,256,256,43
16,256,256,250
16,256,256,93
16,256,256,306
16,256,256,197
16,256,256,211
16,256,256,360
16,256,256,72
16,256,256,180
16,256,256,331
16,256,256,178
16,256,256,397
16,256,256,302
16,256,256,261
16,256,256,366
16,256,256,302
16,256,256,244
16,256,256,197
17,360,360,1823
17,360,360,1883
17,360,360,765
17,360,360,196
17,360,360,2068
17,360,360,2075
17,360,360,1699
17,360,360,1984
17,360,360,769
17,360,360,44
17,360,360,34
17,360,360,1080
17,360,360,2360
17,360,360,1437
17,360,360,874
17,360,360,1205
17,360,360,2164
17,360,360,2575
17,360,360,2984
17,360,360,342
17,360,360,1649
17,360,360,2113
17,360,360,64
17,360,360,966
17,360,360,1475
17,360,360,129
17,360,360,1864
17,360,360,149
17,360,360,2003
17,360,360,59
18,256,256,162
18,256,256,139
18,256,256,22
18,256,256,162
18,256,256,284
18,256,256,209
18,256,256,193
19,256,256,119
19,256,256,87
19,256,256,48
19,256,256,126
19,256,256,88
20,256,256,168
20,256,256,203
20,256,256,163
20,256,256,174
20,256,256,178
20,256,256,106
21,520,696,428
21,520,696,344
21,520,696,372
21,520,696,234
21,520,696,475
21,520,696,190
21,520,696,219
21,520,696,241
21,520,696,173
21,520,696,420
21,520,696,366
21,520,696,477
21,520,696,345
21,520,696,217
21,520,696,346
21,520,696,474
21,520,696,480
21,520,696,143
21,520,696,290
21,520,696,304
21,520,696,592
21,520,696,241
21,520,696,258
21,520,696,172
21,520,696,338
21,520,696,369
21,520,696,591
21,520,696,543
21,520,696,219
21,520,696,155
21,520,696,386
21,520,696,558
21,520,696,90
21,520,696,458
21,520,696,285
21,520,696,556
21,520,696,169
21,520,696,366
21,520,696,307
21,520,696,457
21,520,696,326
21,520,696,305
21,520,696,491
21,520,696,356
21,520,696,375
21,520,696,480
21,520,696,419
21,520,696,418
21,520,696,343
21,520,696,432
21,520,696,382
21,520,696,386
21,520,696,133
21,520,696,467
21,520,696,369
21,520,696,92
21,520,696,400
21,520,696,290
21,520,696,390
21,520,696,282
21,520,696,342
21,520,696,515
21,520,696,226
21,520,696,339
21,520,696,306
21,520,696,332
21,520,696,360
21,520,696,26
21,520,696,265
21,520,696,473
21,520,696,405
21,520,696,515
21,520,696,265
21,520,696,515
21,520,696,374
21,520,696,486
21,520,696,400
21,520,696,397
21,520,696,401
21,520,696,485
21,520,696,221
21,520,696,348
21,520,696,320
21,520,696,364
21,520,696,139
21,520,696,440
21,520,696,454
21,520,696,402
21,520,696,425
21,520,696,172
21,520,696,503
21,520,696,445
21,520,696,400
21,520,696,374
21,520,696,504
21,520,696,530
21,520,696,369
21,520,696,454
21,520,696,208
21,520,696,556
21,520,696,363
21,520,696,199
21,520,696,195
21,520,696,440
21,520,696,335
21,520,696,192
21,520,696,508
21,520,696,346
21,520,696,172
21,520,696,443
21,520,696,359
21,520,696,350
21,520,696,98
21,520,696,268
21,520,696,479
21,520,696,451
21,520,696,406
21,520,696,685
21,520,696,353
21,520,696,418
21,520,696,140
21,520,696,504
21,520,696,352
21,520,696,562
21,520,696,342
21,520,696,63
21,520,696,413
21,520,696,403
21,520,696,580
21,520,696,272
21,520,696,456
21,520,696,322
21,520,696,328
21,520,696,345
21,520,696,327
21,520,696,474
21,520,696,213
21,520,696,476
21,520,696,428
21,520,696,429
21,520,696,514
21,520,696,471
21,520,696,542
21,520,696,423
21,520,696,94
21,520,696,418
21,520,696,584
21,520,696,359
21,520,696,325
21,520,696,419
21,520,696,364
21,520,696,54
21,520,696,262
21,520,696,354
21,520,696,316
21,520,696,353
21,520,696,443
21,520,696,70
21,520,696,384
21,520,696,220
21,520,696,422
21,520,696,438
21,520,696,369
21,520,696,403
21,520,696,40
21,520,696,312
21,520,696,295
21,520,696,267
21,520,696,233
21,520,696,478
21,520,696,240
21,520,696,170
21,520,696,329
21,520,696,209
21,520,696,386
21,520,696,163
21,520,696,407
21,520,696,548
21,520,696,344
21,520,696,190
21,520,696,427
21,520,696,443
21,520,696,378
21,520,696,458
21,520,696,336
21,520,696,319
21,520,696,380
21,520,696,322
21,520,696,266
21,520,696,150
21,520,696,294
21,520,696,294
21,520,696,226
21,520,696,194
21,520,696,418
21,520,696,317
21,520,696,337
21,520,696,180
21,520,696,335
21,520,696,456
21,520,696,336
21,520,696,268
21,520,696,396
21,520,696,348
21,520,696,301
21,520,696,398
21,520,696,359
21,520,696,276
21,520,696,67
21,520,696,159
21,520,696,291
21,520,696,77
21,520,696,350
21,520,696,373
21,520,696,419
21,520,696,445
21,520,696,238
21,520,696,446
21,520,696,513
21,520,696,96
21,520,696,187
21,520,696,412
21,520,696,260
21,520,696,336
21,520,696,320
21,520,696,239
21,520,696,414
21,520,696,421
21,520,696,312
21,520,696,158
21,520,696,565
21,520,696,523
21,520,696,431
21,520,696,330
21,520,696,397
21,520,696,296
21,520,696,168
21,520,696,238
21,520,696,422
21,520,696,372
21,520,696,233
21,520,696,216
21,520,696,365
21,520,696,353
21,520,696,293
21,520,696,419
21,520,696,353
21,520,696,562
21,520,696,454
21,520,696,457
21,520,696,106
21,520,696,543
21,520,696,451
21,520,696,180
21,520,696,459
21,520,696,467
21,520,696,445
21,520,696,532
21,520,696,188
21,520,696,362
21,520,696,424
21,520,696,366
21,520,696,305
21,520,696,221
21,520,696,373
21,520,696,653
21,520,696,426
21,520,696,396
21,520,696,551
21,520,696,489
21,520,696,178
21,520,696,390
21,520,696,187
21,520,696,342
21,520,696,328
21,520,696,205
21,520,696,324
21,520,696,117
21,520,696,323
21,520,696,244
21,520,696,348
21,520,696,150
21,520,696,201
21,520,696,363
21,520,696,458
21,520,696,276
21,520,696,451
21,520,696,491
21,520,696,385
21,520,696,331
21,520,696,390
21,520,696,107
21,520,696,235
21,520,696,457
21,520,696,385
21,520,696,804
21,520,696,435
21,520,696,442
21,520,696,258
21,520,696,244
21,520,696,224
21,520,696,286
21,520,696,354
21,520,696,402
21,520,696,469
21,520,696,334
21,520,696,306
21,520,696,337
21,520,696,694
21,520,696,399
21,520,696,58
21,520,696,573
21,520,696,406
22,360,360,2007
22,360,360,1462
22,360,360,163
22,360,360,2439
22,360,360,2062
22,360,360,329
22,360,360,1124
22,360,360,1649
22,360,360,3268
22,360,360,1649
22,360,360,1729
22,360,360,21
22,360,360,37
22,360,360,2834
22,360,360,1780
22,360,360,320
22,360,360,2001
22,360,360,33
22,360,360,214
22,360,360,161
22,360,360,81
22,360,360,28
22,360,360,2090
22,360,360,1172
22,360,360,1654
23,1024,1024,48
23,1024,1024,368
23,1024,1024,170
23,1024,1024,36
23,1024,1024,58
23,1024,1024,318
23,1024,1024,392
23,1024,1024,339
23,1024,1024,466
23,1024,1024,45
23,1024,1024,264
23,1024,1024,350
23,1024,1024,196
23,1024,1024,142
23,1024,1024,281
23,1024,1024,150
23,1024,1024,61
23,1024,1024,468
23,1024,1024,320
23,1024,1024,578
23,1024,1024,386
23,1024,1024,91
23,1024,1024,114
23,1024,1024,70
23,1024,1024,479
23,1024,1024,551
23,1024,1024,332
23,1024,1024,247
23,1024,1024,387
23,1024,1024,200
23,1024,1024,425
23,1024,1024,413
23,1024,1024,45
23,1024,1024,409
23,1024,1024,47
23,1024,1024,381
23,1024,1024,49
23,1024,1024,54
23,1024,1024,50
23,1024,1024,535
23,1024,1024,26
23,1024,1024,227
23,1024,1024,472
23,1024,1024,432
23,1024,1024,336
23,1024,1024,143
23,1024,1024,359
23,1024,1024,68
23,1024,1024,223
23,1024,1024,72
23,1024,1024,32
23,1024,1024,83
23,1024,1024,461
23,1024,1024,538
23,1024,1024,456
23,1024,1024,51
23,1024,1024,77
23,1024,1024,269
23,1024,1024,67
23,1024,1024,471
23,1024,1024,195
23,1024,1024,56
23,1024,1024,427
23,1024,1024,39
23,1024,1024,501
23,1024,1024,366
23,1024,1024,49
23,1024,1024,396
23,1024,1024,239
23,1024,1024,378
23,1024,1024,373
23,1024,1024,157
23,1024,1024,63
23,1024,1024,427
23,1024,1024,396
23,1024,1024,619
23,1024,1024,55
23,1024,1024,29
23,1024,1024,182
23,1024,1024,112
23,1024,1024,356
23,1024,1024,49
23,1024,1024,256
23,1024,1024,29
23,1024,1024,38
23,1024,1024,343
23,1024,1024,315
23,1024,1024,388
23,1024,1024,349
23,1024,1024,379
23,1024,1024,436
23,1024,1024,192
23,1024,1024,139
23,1024,1024,350
23,1024,1024,535
23,1024,1024,66
23,1024,1024,68
23,1024,1024,49
24,256,256,172
24,256,256,154
24,256,256,75
24,256,256,138
24,256,256,233
24,256,256,102
24,256,256,189
25,1024,1024,127
25,1024,1024,88
25,1024,1024,291
25,1024,1024,503
25,1024,1024,505
25,1024,1024,430
25,1024,1024,51
25,1024,1024,520
25,1024,1024,363
25,1024,1024,494
25,1024,1024,539
25,1024,1024,649
25,1024,1024,385
25,1024,1024,51
25,1024,1024,245
25,1024,1024,61
25,1024,1024,504
25,1024,1024,348
25,1024,1024,451
25,1024,1024,43
25,1024,1024,69
25,1024,1024,543
25,1024,1024,399
25,1024,1024,182
25,1024,1024,491
25,1024,1024,482
25,1024,1024,280
25,1024,1024,322
25,1024,1024,492
25,1024,1024,396
25,1024,1024,27
25,1024,1024,64
25,1024,1024,321
25,1024,1024,402
25,1024,1024,67
25,1024,1024,44
25,1024,1024,75
25,1024,1024,690
25,1024,1024,56
25,1024,1024,436
25,1024,1024,58
25,1024,1024,457
25,1024,1024,222
25,1024,1024,134
26,256,256,63
26,256,256,45
26,256,256,24
26,256,256,29
26,256,256,46
26,256,256,21
26,256,256,83
26,256,256,70
26,256,256,76
26,256,256,59
26,256,256,49
26,256,256,88
26,256,256,148
26,256,256,55
26,256,256,21
26,256,256,21
26,256,256,23
26,256,256,54
26,256,256,84
26,256,256,46
26,256,256,89
26,256,256,23
26,256,256,72
26,256,256,50
26,256,256,84
26,256,256,66
26,256,256,61
26,256,256,82
26,256,256,71
26,256,256,64
26,256,256,89
26,256,256,21
26,256,256,35
26,256,256,55
26,256,256,175
26,256,256,61
26,256,256,26
26,256,256,28
26,256,256,21
26,256,256,57
26,256,256,63
26,256,256,91
26,256,256,101
26,256,256,24
26,256,256,101
26,256,256,110
26,256,256,42
26,256,256,38
26,256,256,80
26,256,256,26
26,256,256,93
26,256,256,39
26,256,256,115
26,256,256,103
26,256,256,109
26,256,256,80
26,256,256,98
26,256,256,58
26,256,256,25
26,256,256,71
26,256,256,58
26,256,256,82
26,256,256,30
26,256,256,55
26,256,256,21
27,256,256,200
27,256,256,270
27,256,256,171
27,256,256,605
27,256,256,200
27,256,256,205
27,256,256,401
27,256,256,134
27,256,256,521
27,256,256,472
27,256,256,280
27,256,256,554
27,256,256,37
27,256,256,379
27,256,256,95
27,256,256,572
27,256,256,439
27,256,256,513
27,256,256,258
27,256,256,379
27,256,256,669
27,256,256,324
27,256,256,332
27,256,256,239
27,256,256,149
27,256,256,244
27,256,256,408
28,256,256,192
28,256,256,134
28,256,256,266
28,256,256,256
28,256,256,279
28,256,256,392
28,256,256,267
28,256,256,21
28,256,256,95
29,520,696,250
29,520,696,72
29,520,696,101
29,520,696,692
29,520,696,776
29,520,696,382
29,520,696,815
30,256,256,185
30,256,256,157
30,256,256,185
30,256,256,195
30,256,256,223
31,256,256,150
31,256,256,55
31,256,256,91
31,256,256,88
31,256,256,95
31,256,256,82
31,256,256,82
31,256,256,88
31,256,256,54
31,256,256,21
31,256,256,108
31,256,256,85
31,256,256,88
31,256,256,59
31,256,256,72
31,256,256,88
31,256,256,43
31,256,256,81
31,256,256,83
31,256,256,21
31,256,256,43
31,256,256,78
31,256,256,69
31,256,256,36
31,256,256,160
31,256,256,63
31,256,256,86
31,256,256,118
31,256,256,67
31,256,256,109
31,256,256,94
31,256,256,39
31,256,256,66
31,256,256,47
31,256,256,31
31,256,256,68
31,256,256,26
31,256,256,80
31,256,256,51
31,256,256,32
31,256,256,83
31,256,256,63
31,256,256,89
31,256,256,21
31,256,256,151
31,256,256,21
31,256,256,61
31,256,256,49
31,256,256,81
31,256,256,21
31,256,256,65
31,256,256,94
31,256,256,60
32,256,320,608
32,256,320,112
32,256,320,485
32,256,320,128
32,256,320,582
32,256,320,440
32,256,320,241
32,256,320,915
32,256,320,443
32,256,320,282
32,256,320,516
32,256,320,564
32,256,320,244
32,256,320,300
32,256,320,409
32,256,320,489
32,256,320,153
32,256,320,653
32,256,320,133
32,256,320,98
32,256,320,80
32,256,320,220
32,256,320,543
32,256,320,287
32,256,320,69
32,256,320,424
32,256,320,80
32,256,320,71
32,256,320,551
33,256,256,303
33,256,256,409
33,256,256,380
33,256,256,62
33,256,256,697
33,256,256,282
33,256,256,75
33,256,256,382
33,256,256,442
33,256,256,418
33,256,256,715
33,256,256,332
33,256,256,285
33,256,256,463
33,256,256,82
33,256,256,319
33,256,256,420
33,256,256,100
33,256,256,241
33,256,256,418
33,256,256,21
33,256,256,325
33,256,256,92
33,256,256,387
33,256,256,107
33,256,256,150
33,256,256,148
33,256,256,380
33,256,256,53
33,256,256,248
33,256,256,444
33,256,256,746
33,256,256,77
33,256,256,201
33,256,256,245
33,256,256,300
33,256,256,374
33,256,256,222
33,256,256,118
33,256,256,70
33,256,256,282
33,256,256,390
33,256,256,412
33,256,256,457
33,256,256,463
33,256,256,655
33,256,256,243
33,256,256,256
33,256,256,368
33,256,256,359
33,256,256,431
33,256,256,457
33,256,256,337
33,256,256,376
33,256,256,395
33,256,256,438
33,256,256,372
34,256,320,207
34,256,320,399
34,256,320,410
34,256,320,399
34,256,320,458
34,256,320,94
34,256,320,114
34,256,320,350
34,256,320,502
34,256,320,312
34,256,320,403
34,256,320,105
34,256,320,300
34,256,320,227
34,256,320,502
34,256,320,291
34,256,320,694
34,256,320,364
34,256,320,220
34,256,320,200
34,256,320,192
34,256,320,89
34,256,320,38
34,256,320,379
34,256,320,420
34,256,320,439
34,256,320,302
34,256,320,147
34,256,320,245
34,256,320,77
34,256,320,220
34,256,320,288
34,256,320,175
34,256,320,431
34,256,320,78
34,256,320,465
34,256,320,99
34,256,320,344
34,256,320,547
34,256,320,320
34,256,320,456
34,256,320,607
34,256,320,565
34,256,320,347
34,256,320,193
34,256,320,400
34,256,320,339
34,256,320,232
34,256,320,670
34,256,320,551
34,256,320,469
34,256,320,120
34,256,320,185
34,256,320,189
34,256,320,96
34,256,320,78
34,256,320,417
34,256,320,409
34,256,320,65
34,256,320,522
34,256,320,188
34,256,320,348
34,256,320,99
34,256,320,534
34,256,320,476
34,256,320,322
34,256,320,347
34,256,320,462
34,256,320,570
34,256,320,98
34,256,320,424
34,256,320,423
34,256,320,251
35,256,256,394
35,256,256,160
35,256,256,171
35,256,256,131
35,256,256,267
35,256,256,101
35,256,256,75
35,256,256,288
35,256,256,325
35,256,256,173
35,256,256,191
35,256,256,198
35,256,256,88
35,256,256,21
35,256,256,94
35,256,256,178
35,256,256,192
35,256,256,167
35,256,256,306
35,256,256,21
35,256,256,21
35,256,256,78
35,256,256,465
35,256,256,462
35,256,256,167
35,256,256,457
35,256,256,70
35,256,256,216
36,360,360,86
36,360,360,3914
36,360,360,747
36,360,360,2545
36,360,360,197
36,360,360,2113
36,360,360,2404
36,360,360,4262
36,360,360,777
36,360,360,82
36,360,360,1473
36,360,360,2215
36,360,360,67
36,360,360,1841
36,360,360,2252
36,360,360,2666
36,360,360,3544
36,360,360,2735
36,360,360,2055
37,256,320,2920
37,256,320,48
37,256,320,1458
37,256,320,1340
37,256,320,207
37,256,320,147
37,256,320,1955
37,256,320,1575
37,256,320,1293
37,256,320,3919
37,256,320,2062
37,256,320,1761
37,256,320,2681
37,256,320,2123
37,256,320,33
37,256,320,610
37,256,320,1793
37,256,320,1281
37,256,320,1475
37,256,320,688
37,256,320,992
38,256,256,472
38,256,256,447
38,256,256,246
38,256,256,166
38,256,256,481
38,256,256,460
38,256,256,256
38,256,256,485
38,256,256,122
38,256,256,512
38,256,256,443
38,256,256,789
38,256,256,111
38,256,256,122
38,256,256,168
38,256,256,151
38,256,256,268
38,256,256,623
38,256,256,447
38,256,256,436
38,256,256,105
38,256,256,429
38,256,256,402
38,256,256,473
38,256,256,113
38,256,256,655
38,256,256,620
38,256,256,455
38,256,256,501
38,256,256,24
38,256,256,507
38,256,256,527
39,256,320,422
39,256,320,398
39,256,320,536
39,256,320,222
39,256,320,157
39,256,320,356
39,256,320,184
39,256,320,87
39,256,320,226
39,256,320,96
39,256,320,146
39,256,320,354
39,256,320,214
39,256,320,98
39,256,320,48
39,256,320,401
39,256,320,419
39,256,320,379
39,256,320,395
39,256,320,284
39,256,320,293
39,256,320,149
39,256,320,75
39,256,320,791
39,256,320,455
39,256,320,236
39,256,320,515
39,256,320,119
39,256,320,361
40,256,320,319
40,256,320,180
40,256,320,496
40,256,320,403
40,256,320,445
40,256,320,448
40,256,320,608
40,256,320,109
40,256,320,571
40,256,320,363
40,256,320,671
40,256,320,242
40,256,320,295
40,256,320,600
40,256,320,116
40,256,320,396
40,256,320,357
40,256,320,322
40,256,320,82
40,256,320,383
40,256,320,221
40,256,320,107
40,256,320,786
40,256,320,270
40,256,320,397
